station,date,datatype,value,attributes
GHCND:US1ORDG0043,2023-01-01T00:00:00,PRCP,0.05,",,N,0800"
GHCND:US1ORDG0045,2023-01-01T00:00:00,PRCP,0.36,",,N,0700"
GHCND:US1ORDG0047,2023-01-01T00:00:00,PRCP,0.05,",,N,0700"
GHCND:US1ORDG0048,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDG0048,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDG0049,2023-01-01T00:00:00,PRCP,0.05,",,N,0800"
GHCND:US1ORDG0050,2023-01-01T00:00:00,PRCP,0.06,",,N,0800"
GHCND:US1ORDG0052,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDG0052,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDG0053,2023-01-01T00:00:00,PRCP,0.06,",,N,1200"
GHCND:US1ORDG0054,2023-01-01T00:00:00,PRCP,0.05,",,N,0900"
GHCND:US1ORDG0057,2023-01-01T00:00:00,PRCP,0.01,",,N,0800"
GHCND:US1ORDG0058,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDG0058,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDG0061,2023-01-01T00:00:00,PRCP,0.04,",,N,0700"
GHCND:US1ORDG0062,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDG0062,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDG0063,2023-01-01T00:00:00,PRCP,0.08,",,N,0730"
GHCND:US1ORDG0064,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORDG0067,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDG0067,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0001,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0001,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0017,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0017,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0017,2023-01-01T00:00:00,SNWD,0.0,"T,,N,0700"
GHCND:US1ORDS0029,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0029,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0029,2023-01-01T00:00:00,SNWD,0.0,"T,,N,0700"
GHCND:US1ORDS0033,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDS0033,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDS0035,2023-01-01T00:00:00,PRCP,0.27,",,N,0600"
GHCND:US1ORDS0035,2023-01-01T00:00:00,SNOW,2.0,",,N,0600"
GHCND:US1ORDS0035,2023-01-01T00:00:00,SNWD,1.0,",,N,0600"
GHCND:US1ORDS0036,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0036,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0045,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDS0045,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDS0049,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDS0049,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDS0051,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0051,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0061,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0061,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0061,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORDS0063,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDS0063,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDS0064,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0064,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0066,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDS0066,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDS0069,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDS0069,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDS0069,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORGR0004,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0700"
GHCND:US1ORGR0004,2023-01-01T00:00:00,SNOW,0.0,"T,,N,0700"
GHCND:US1ORGR0008,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0700"
GHCND:US1ORGR0008,2023-01-01T00:00:00,SNOW,0.0,"T,,N,0700"
GHCND:US1ORHR0007,2023-01-01T00:00:00,PRCP,0.0,",,N,0810"
GHCND:US1ORHR0007,2023-01-01T00:00:00,SNOW,0.0,",,N,0810"
GHCND:US1ORHR0008,2023-01-01T00:00:00,PRCP,0.15,",,N,0800"
GHCND:US1ORHR0009,2023-01-01T00:00:00,PRCP,0.0,",,N,0740"
GHCND:US1ORHR0009,2023-01-01T00:00:00,SNOW,0.0,",,N,0740"
GHCND:US1ORHR0009,2023-01-01T00:00:00,SNWD,0.0,",,N,0740"
GHCND:US1ORHR0010,2023-01-01T00:00:00,PRCP,0.01,",,N,0850"
GHCND:US1ORHR0010,2023-01-01T00:00:00,SNOW,0.0,",,N,0850"
GHCND:US1ORHR0010,2023-01-01T00:00:00,SNWD,0.0,",,N,0850"
GHCND:US1ORHR0010,2023-01-01T00:00:00,WESD,0.0,",,N,0850"
GHCND:US1ORHR0010,2023-01-01T00:00:00,WESF,0.0,",,N,0850"
GHCND:US1ORHY0005,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORHY0005,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORHY0005,2023-01-01T00:00:00,SNWD,11.0,",,N,0700"
GHCND:US1ORHY0005,2023-01-01T00:00:00,WESF,0.0,",,N,0700"
GHCND:US1ORHY0007,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORHY0007,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORJC0001,2023-01-01T00:00:00,PRCP,0.02,",,N,0800"
GHCND:US1ORJC0002,2023-01-01T00:00:00,PRCP,0.06,",,N,0800"
GHCND:US1ORJC0008,2023-01-01T00:00:00,PRCP,0.02,",,N,1115"
GHCND:US1ORJC0011,2023-01-01T00:00:00,PRCP,0.06,",,N,0700"
GHCND:US1ORJC0013,2023-01-01T00:00:00,PRCP,0.03,",,N,0730"
GHCND:US1ORJC0018,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0800"
GHCND:US1ORJC0018,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORJC0018,2023-01-01T00:00:00,SNWD,0.0,",,N,0800"
GHCND:US1ORJC0018,2023-01-01T00:00:00,WESD,0.0,",,N,0800"
GHCND:US1ORJC0018,2023-01-01T00:00:00,WESF,0.0,",,N,0800"
GHCND:US1ORJC0027,2023-01-01T00:00:00,PRCP,0.05,",,N,0700"
GHCND:US1ORJC0029,2023-01-01T00:00:00,PRCP,0.01,",,N,0700"
GHCND:US1ORJC0029,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJC0029,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORJC0060,2023-01-01T00:00:00,PRCP,0.13,",,N,0700"
GHCND:US1ORJC0060,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJC0060,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORJC0060,2023-01-01T00:00:00,WESD,0.0,",,N,0700"
GHCND:US1ORJC0060,2023-01-01T00:00:00,WESF,0.0,",,N,0700"
GHCND:US1ORJC0062,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0700"
GHCND:US1ORJC0062,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJC0062,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORJC0074,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORJC0074,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJC0075,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORJC0085,2023-01-01T00:00:00,PRCP,0.01,",,N,0700"
GHCND:US1ORJC0086,2023-01-01T00:00:00,PRCP,0.04,",,N,0600"
GHCND:US1ORJC0087,2023-01-01T00:00:00,PRCP,0.05,",,N,0700"
GHCND:US1ORJC0088,2023-01-01T00:00:00,PRCP,0.02,",,N,0900"
GHCND:US1ORJC0089,2023-01-01T00:00:00,PRCP,0.03,",,N,0800"
GHCND:US1ORJC0091,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0800"
GHCND:US1ORJC0092,2023-01-01T00:00:00,PRCP,0.21,",,N,0700"
GHCND:US1ORJC0093,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0700"
GHCND:US1ORJC0093,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJC0093,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORJC0097,2023-01-01T00:00:00,PRCP,0.04,",,N,0745"
GHCND:US1ORJC0097,2023-01-01T00:00:00,SNOW,0.0,",,N,0745"
GHCND:US1ORJC0097,2023-01-01T00:00:00,WESF,0.0,",,N,0745"
GHCND:US1ORJC0098,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORJC0098,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORJC0099,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORJC0100,2023-01-01T00:00:00,PRCP,0.02,",,N,0800"
GHCND:US1ORJC0104,2023-01-01T00:00:00,PRCP,0.02,",,N,0900"
GHCND:US1ORJC0105,2023-01-01T00:00:00,PRCP,0.04,",,N,0800"
GHCND:US1ORJC0109,2023-01-01T00:00:00,PRCP,0.01,",,N,0700"
GHCND:US1ORJC0111,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORJC0116,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORJC0117,2023-01-01T00:00:00,PRCP,0.01,",,N,0800"
GHCND:US1ORJC0119,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORJC0122,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORJC0122,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJC0122,2023-01-01T00:00:00,WESF,0.0,",,N,0700"
GHCND:US1ORJC0123,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORJF0001,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORJF0001,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJF0001,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORJF0013,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0700"
GHCND:US1ORJF0013,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJF0013,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORJS0001,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORJS0001,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORJS0010,2023-01-01T00:00:00,PRCP,0.01,",,N,0830"
